id	title	datetime	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32	t33	t34	t35	t36	t37	t38	t39	t40	t41	t42	t43	t44	t45	t46	t47	t48	t49
378	Tesla: Learn From The Mess	11/18/2013 13:51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188405797	0	0.014492754	0.028985507	0	0	0	0	0	0.376811594	0	0	0	0	0.275362319	0	0.028985507	0	0	0	0	0	0	0	0	0	0.086956522	0	0
379	"S&P 500 Action: Another Day, Another Record, But No Happy Ending"	11/18/2013 13:50	0	0.106382979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021276596	0	0	0.638297872	0.021276596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106382979	0.106382979	0	0
380	Tesla extends losses; Twitter gets sell rating	11/18/2013 13:47	0	0.543478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043478261	0	0	0	0.02173913	0	0	0	0	0.086956522	0	0.02173913	0	0	0	0	0	0	0	0	0.043478261	0	0	0	0	0	0	0	0.065217391	0	0	0.173913043	0	0	0
381	"US STOCKS-Dow, S&P pull back from records after Icahn's caution"	11/18/2013 13:46	0.061728395	0	0	0.024691358	0	0	0	0	0	0	0.012345679	0	0	0	0	0.098765432	0	0	0	0.037037037	0	0.395061728	0.12345679	0	0	0	0	0	0	0	0.12345679	0	0	0	0	0.086419753	0	0	0	0	0	0	0	0	0	0	0	0.024691358	0	0.012345679
382	[video] Markets' Reach Exceeds Gain	11/18/2013 13:44	0.018181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327272727	0	0	0	0	0	0	0	0.163636364	0	0	0	0	0	0	0	0	0	0	0.345454545	0	0	0	0	0	0	0	0.145454545	0	0	0	0	0	0
383	Your first trade for Tuesday	11/18/2013 13:23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0.3	0	0	0	0	0	0	0.3	0	0	0	0	0.1	0	0.2	0	0	0	0	0	0	0
384	"STOCKS FALL, BITCOIN GOES INSANE: Here's What You Need To Know"	11/18/2013 13:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.06	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.06	0	0.3	0	0	0	0	0	0	0	0	0.02	0.36	0	0
385	Tesla Troubles Mount: Shares Tumble to Four-Month Low	11/18/2013 12:59	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	Tesla Is Tanking	11/18/2013 12:35	0	0.072727273	0	0	0	0	0.036363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072727273	0	0	0	0	0	0	0	0	0	0	0	0	0.072727273	0	0	0	0.363636364	0.254545455	0	0	0	0	0	0	0	0	0.127272727	0	0
387	Tesla Falls Amid California Factory Probe: San Francisco Mover	11/18/2013 12:30	0	0	0.030612245	0.020408163	0	0.010204082	0	0.030612245	0	0	0	0.295918367	0	0	0	0	0	0.12244898	0	0	0	0.020408163	0	0	0	0	0	0	0.163265306	0	0	0	0	0	0	0.020408163	0	0	0	0.275510204	0	0	0	0.010204082	0	0	0	0	0	0
388	This is the hottest industry no one is talking about	11/18/2013 12:19	0.041666667	0	0	0	0	0	0	0	0	0	0.083333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.708333333	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0
389	"Analysis - As market bubbles form, investors may want to take cover"	11/18/2013 12:12	0	0	0	0	0	0	0	0.03030303	0	0	0	0	0	0	0	0	0	0.03030303	0	0	0	0.318181818	0	0	0	0	0	0	0	0	0	0	0	0	0.303030303	0.106060606	0	0	0.121212121	0	0	0	0	0	0	0	0	0.090909091	0	0
390	Tesla Motors Inc (TSLA) Turmoil: Monday Blues See 9 Percent Drop	11/18/2013 11:45	0	0.11627907	0	0	0	0	0	0.093023256	0	0	0.279069767	0.325581395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046511628	0	0	0	0.139534884	0	0
391	Non-GAAP Results: More Distorted Than You Think	11/18/2013 11:43	0	0.358695652	0	0	0	0	0.065217391	0	0	0	0	0	0	0	0	0.097826087	0	0.032608696	0	0	0	0.086956522	0	0	0	0	0	0	0	0	0.076086957	0.010869565	0	0	0	0	0	0	0.065217391	0	0	0	0.010869565	0	0	0	0	0.195652174	0	0
392	How It Feels Going From A Chevy Volt To A Tesla Model S	11/18/2013 11:40	0	0	0	0	0	0	0.170731707	0.390243902	0	0	0	0	0	0.048780488	0	0	0	0	0	0	0	0.073170732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097560976	0.219512195	0	0	0	0	0
393	"Tesla, Twitter Among High-Profile Plays Crashing Today"	11/18/2013 11:17	0	0	0	0	0	0	0	0	0.395348837	0	0	0	0	0	0	0.069767442	0.069767442	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069767442	0	0	0	0	0.348837209	0	0	0	0	0	0	0	0	0	0	0	0.046511628	0	0
394	"3 Auto Stocks Going Places: Tesla?s Battery Effort, Toyota?s Lofty Lexus Sales, GM?s Small-Truck Resurgence"	11/18/2013 14:32	0	0	0	0.428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028571429	0	0.2	0	0	0	0	0	0.028571429	0	0	0	0	0	0	0.057142857	0	0	0	0	0	0	0	0	0	0.257142857	0	0	0	0
395	"Why Tesla Motors, Yelp, and SUPERVALU Sank Today"	11/18/2013 17:34	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0.133333333	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333	0	0.222222222	0.066666667	0	0	0	0	0	0	0	0	0.022222222	0	0.155555556	0	0
